time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
9.96,141.731491,434.323914,37.328094,141.731491,37.328094,434.323914,-57.79570000000101,-413.63830000001116,-51.94350000000125,420.8742251048875,9.179002898004585,-79.36021900657718,False,False,False
9.97,141.153534,430.187531,36.808659,141.153534,36.808659,430.187531,-36.90260000000126,-472.4228000000112,-41.51780000000099,475.67723464913763,8.482623645720295,-83.29394448562789,False,False,False
9.98,140.993439,424.875458,36.497738,140.993439,36.497738,424.875458,-10.302750000001652,-583.6624500000144,-28.942150000000538,584.4704015125183,8.359721347885852,-86.98700049599151,False,False,False
9.99,140.947479,418.514282,36.229816,140.947479,36.229816,418.514282,-4.090149999999994,-684.526050000015,-23.105450000000474,684.9281015371964,8.271719397925702,-88.03674257936937,False,False,False
10.0,140.911636,411.184937,36.035629,140.911636,36.035629,411.184937,-1.2054499999985637,-781.9885000000177,-18.376900000000205,782.2053296261731,8.218272363878723,-88.6508924019298,False,False,False
10.01,140.92337,402.874512,35.862278,140.92337,35.862278,402.874512,2.523050000000694,-882.3441000000166,-12.276450000000068,882.4331067059668,8.180795704237138,-89.1862111253303,False,False,False
10.02,140.962097,393.538055,35.7901,140.962097,35.7901,393.538055,15.205399999998917,-971.2723000000187,-18.790250000000924,971.5730329890538,8.191063455105649,-88.57438701432635,False,False,False
10.03,141.227478,383.449066,35.486473,141.227478,35.486473,383.449066,22.53189999999995,-1067.4789000000237,-15.776250000000346,1067.8332166246437,7.991590355063346,-88.52397507439096,False,False,False
10.04,141.412735,372.188477,35.474575,141.412735,35.474575,372.188477,17.58954999999969,-1176.3229499999106,-0.8756499999999505,1176.454776746058,7.904958021265873,-89.14225966468986,False,False,False
10.05,141.579269,359.922607,35.46896,141.579269,35.46896,359.922607,23.75565000000006,-1268.0725499999207,-3.8330000000005384,1268.3008376797768,8.024013305235787,-88.9128881189304,False,False,False
10.06,141.887848,346.827026,35.397915,141.887848,35.397915,346.827026,36.10765000000083,-1357.597350000029,-1.7612500000002456,1358.0785798756958,7.921789192498013,-88.47466829920278,False,False,False
10.07,142.301422,332.77066,35.433735,142.301422,35.433735,332.77066,31.369800000001305,-1471.5026500000313,-8.028250000000071,1471.8588811795842,7.869815924214685,-88.7393942956449,False,False,False
10.08,142.515244,317.396973,35.23735,142.515244,35.23735,317.396973,31.914550000001327,-1575.7675000000345,-5.410750000000007,1576.0999425079692,7.681786658844902,-88.82317560472235,False,False,False
10.09,142.939713,301.25531,35.32552,142.939713,35.32552,301.25531,55.37410000000091,-1647.7386500000339,26.080350000000635,1648.875111799213,7.675328002356749,-87.87261488003838,False,False,False
10.1,143.622726,284.4422,35.758957,143.622726,35.758957,284.4422,61.68670000000111,-1741.3101000000388,32.08805000000075,1742.697838488313,7.82386078091081,-87.71329982746157,False,False,False
10.11,144.173447,266.429108,35.967281,144.173447,35.967281,266.429108,57.082400000001144,-1851.4862000000412,18.3271500000003,1852.4565942573324,7.848394288577716,-88.14537256841928,False,False,False
10.12,144.764374,247.412476,36.1255,144.764374,36.1255,247.412476,63.74279999999453,-1948.8426499998604,20.16069999999786,1949.989044285841,7.8297674093147505,-88.0352385428997,False,False,False
10.13,145.448303,227.452255,36.370495,145.448303,36.370495,227.452255,68.31359999999586,-2043.3486999998695,18.18274999999744,2044.5711702295125,7.846068955481867,-88.01857653767027,False,False,False
10.14,146.130646,206.545502,36.489155,146.130646,36.489155,206.545502,75.65845000000081,-2141.1819500000456,21.98735000000056,2142.631043278899,7.863477747461971,-87.89265042212071,False,False,False
10.15,146.961472,184.628616,36.810242,146.961472,36.810242,184.628616,86.81410000000142,-2240.077200000049,36.61325000000102,2242.057778023223,7.964613062971486,-87.59152477316493,False,False,False
10.16,147.866928,161.743958,37.22142,147.866928,37.22142,161.743958,89.82390000000214,-2338.51700000005,38.41705000000093,2340.556763257654,7.935927091930187,-87.60778907937532,False,False,False
10.17,148.75795,137.858276,37.578583,148.75795,37.578583,137.858276,93.19535000000269,-2434.6092500000514,38.127700000000914,2436.690644081584,7.950129515749008,-87.63165204402272,False,False,False
10.18,149.730835,113.051773,37.983974,149.730835,37.983974,113.051773,96.53245000000243,-2479.699300000052,-8.61990000000037,2481.592519935487,8.01989012483774,-87.7617914866467,False,False,False
10.19,150.688599,88.26429,37.406185,150.688599,37.406185,88.26429,49.22714999999971,-1989.9624000000422,-335.8132000000073,2018.6986330320074,8.971444881590985,-80.3209365493785,True,False,False
10.2,150.715378,73.252525,31.26771,150.715378,31.26771,73.252525,-55.49394999998549,-459.6714000001539,-476.11244999999235,664.1238133885108,10.69663578139923,-43.80031507964547,False,True,False
10.21,149.57872,79.070862,27.883936,149.57872,27.883936,79.070862,-128.63389999999345,1006.1710500000067,-390.60279999998284,1086.9670691677604,5.013415258319889,67.76935829136157,False,False,False
10.22,148.1427,93.375946,23.455654,148.1427,23.455654,93.375946,-162.13605000000462,1316.9437500000286,-515.913700000011,1423.6558169801585,3.343508751511984,67.67493549015902,False,False,True
10.23,146.335999,105.409737,17.565662,146.335999,17.565662,105.409737,-181.62230000000363,1150.1041500000247,-578.6551500000123,1300.2184425419089,4.605407370953937,62.19581010522637,False,False,False
10.24,144.510254,116.378029,11.882551,144.510254,11.882551,116.378029,-174.70630000000347,1061.9316000000217,-563.392500000012,1214.755993356098,6.3486912080963505,60.9496510597474,False,False,False
10.25,142.841873,126.648369,6.297812,142.841873,6.297812,126.648369,-163.93205000000307,977.3098000000209,-557.9181000000119,1137.2250298427782,8.687118727668926,59.24717383685714,False,False,False
10.26,141.231613,135.924225,0.724189,141.231613,0.724189,135.924225,-158.48085000000265,876.1615500000198,-556.8668500000119,1050.1789990968664,11.130563437367064,56.542743620996006,False,False,False
10.27,139.672256,144.1716,-4.839525,139.672256,-4.839525,144.1716,-150.6668000000036,776.150500000017,-557.0708000000119,967.1804172361901,13.675180535222106,53.368332255072986,False,False,False
10.28,138.218277,151.447235,-10.417227,138.218277,-10.417227,151.447235,-145.7122500000023,675.9613000000127,-555.7197500000118,887.1190334097482,16.214743164363803,49.638498026423996,False,False,False
10.29,136.758011,157.690826,-15.95392,136.758011,-15.95392,157.690826,-139.85444999999163,577.0629999999692,-555.578299999962,813.1594066261623,18.739693705985413,45.2068882426749,False,False,False
10.3,135.421188,162.988495,-21.528793,135.421188,-21.528793,162.988495,-130.39169999999012,481.6093499999606,-558.0853499999624,748.6045814185568,21.292246852737662,40.04153597454103,False,False,False
